Province_State,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31
California,14.856524100566311,14.86985917243243,14.883679102945635,14.896656188833747,14.90849034718068,14.918920983806228,14.92835640061558,14.93996991453393,14.946148829416739,14.954210491583984,14.962026268555745,14.96862018591496,14.974739939008709,14.982785041229537,14.98955370529054,14.99456332133997,15.001494325444236,15.007471103123168,15.012745715237468,15.01675915500478,15.022273865212837,15.026195386175683,15.029913380055412,15.034253642659838,15.039211280913413,15.041707173799967,15.044561168976493,15.048679671654684,15.051758762497993,15.05422589024619,15.057285955001236,15.06004317844472,15.06260865418333,15.064220179881175,15.065811354944415,15.06823695436232,15.07010128366474,15.07180926835077,15.074319782388043,15.07605432027842,15.07733152153443,15.078774483625251,15.080580625335356,15.082202072325549,15.083761537040601,15.085182053919656,15.08642072266091,15.08739889365464,15.089070057428993,15.090305319978643,15.091521472328001,15.092985093574208,15.09437587661023,15.095544276211138,15.096253274051172,15.097123617152906,15.098634226235482,15.099577268653071,15.100561748847788,15.101701947178903,15.10223068611298,15.102830634639767,15.103648392274842,15.10427505259708,15.105176445712592,15.106169186293217,15.107003184999405,15.107638459981898,15.108009766046992,15.108950321867587,15.10963727134952,15.110412778729124,15.1111055680525,15.112047320131055,15.112622550833834,15.113168768318749,15.114042532884975,15.114684536153604,15.11536047226834
Texas,14.515954055546828,14.528828925344973,14.542400977669134,14.555026879141685,14.563459795000119,14.570275749119538,14.575470702404797,14.584442161791028,14.597380358834785,14.607992535952002,14.616520620649872,14.623090278644977,14.626628312149814,14.63503705340596,14.644333954370074,14.652420796186114,14.661495986060295,14.669154950728132,14.675555541745307,14.681074150944081,14.696227167782624,14.704096224364712,14.711409176829681,14.717063216013164,14.722963955374926,14.726389070164382,14.729743975016826,14.733631214504532,14.73910812974618,14.744149140382625,14.748948237073089,14.753501331591027,14.757100937657825,14.759000417031436,14.76008704909479,14.761223772109217,14.76322359739334,14.764118226674915,14.766285032008332,14.768641093952823,14.771276201449776,14.77352425436329,14.777576246167374,14.780535452439803,14.783507958774948,14.787600736255852,14.789830169157796,14.791206910150809,14.794134380801728,14.796874168181755,14.799726444852295,14.802590360526638,14.804671009960149,14.806051994662502,14.80711616196672,14.808423014153856,14.810506364818579,14.812562139586207,14.814668558527208,14.816698166179759,14.817835122520608,14.818882431061144,14.820476781420984,14.822652086813179,14.824298425833355,14.825544788493037,14.826975096708024,14.827940217045828,14.828788970941279,14.829854250233337,14.831563725444486,14.833006785343121,14.83416002465679,14.836655237212204,14.837769021103538,14.838945174348297,14.840196396464087,14.841347473353727,14.842236865565493
Florida,14.223294974396348,14.232557009335757,14.24155772809253,14.252518259815597,14.260316243836542,14.267401131783084,14.272480871338626,14.2786771176259,14.28614648726619,14.294154873724572,14.302619552712944,14.310154969188906,14.315952456975525,14.321225142593708,14.326994365080074,14.33202318005688,14.338814996440542,14.345297867298752,14.354101142990993,14.358635690820734,14.361958891363434,14.36803900420765,14.372047324861434,14.376457459574667,14.383023084426304,14.387258171093293,14.390990696140356,14.39421218975735,14.39814173391964,14.402341766563357,14.407071203545206,14.41127806880207,14.41541132768299,14.418390521580715,14.420366815992507,14.423800040701801,14.427788189111247,14.430558349716161,14.434164769191671,14.438078609595896,14.440792623737702,14.443011403987917,14.446002243379876,14.44978951084415,14.453304635306448,14.456429270155654,14.459300988875544,14.462206387198545,14.46309640606287,14.466846192058895,14.469976679731326,14.473151278982947,14.476241979064138,14.478661310538497,14.480770478477298,14.482471861569366,14.48474099986581,14.487223150303915,14.48980717786873,14.492460264845251,14.495121536111553,14.4969944864588,14.498423042243035,14.500840261520336,14.503155126887334,14.505712405285598,14.508286669686694,14.510836862507986,14.512824047393636,14.514248083387432,14.516880835993998,14.519428030147358,14.522279539098259,14.5251116277959,14.528000946578048,14.530422165722168,14.532071484933233,14.534540861687768,14.537116907264181
New York,13.96785646731546,13.980403616984935,13.992362181915198,14.00854370693357,14.021603978386091,14.032685935104366,14.043420332768157,14.053497794654652,14.062223750108611,14.073032347321163,14.085082629818737,14.095648998637921,14.104963062276278,14.113886249318643,14.12204480617624,14.129644426442798,14.139661483750825,14.148983300597749,14.158177141373795,14.16610263874617,14.172373484233221,14.177921320598761,14.182888123971592,14.187703571419526,14.193131592842441,14.200978379831435,14.207704661212388,14.213747606474238,14.219291582132128,14.223678676313215,14.230312607520652,14.236052109857464,14.241784976036032,14.247209204647458,14.251446026828283,14.25577508121472,14.259582729442737,14.265709997412609,14.271160412914808,14.276370006330618,14.280296222278533,14.284244631665299,14.288567645657265,14.292385525400693,14.297890409840564,14.302862211293819,14.307789856955498,14.312562559403887,14.316470071330455,14.32032917574186,14.324283476371427,14.328763433569693,14.333630314743969,14.338458804912415,14.342987967983246,14.346192925209197,14.350204064080224,14.353774874048522,14.357951121099516,14.360404799449638,14.366331786884869,14.370179272141256,14.374259112818915,14.378089950083405,14.381832949133441,14.384958423650916,14.387827063529274,14.391581640428585,14.393678892450536,14.395246009769204,14.397097488613177,14.412432590263892,14.417128900427533,14.421534900777615,14.426266399975122,14.431092334797807,14.435804747782562,14.438959261013022,14.443126191165941
Illinois,13.85489375791586,13.860513559879127,13.866852701158702,13.87314247079699,13.878173571436355,13.88207515023287,13.88523716020497,13.889256250216842,13.893725442339962,13.89831928283658,13.90478071532103,13.90948165978555,13.912473915970727,13.915142295463042,13.918456059822368,13.921834409465093,13.925595595471874,13.929311453191193,13.93229220350801,13.934450257760039,13.936500889189485,13.938540250259411,13.941466327882987,13.944396175668903,13.94760842357976,13.950287924041389,13.952090922745596,13.953609378989057,13.955421184937505,13.957874330034423,13.960332719287274,13.962577924541437,13.964382185223846,13.965786598203925,13.967007720325968,13.968165548377005,13.969705236823561,13.971389743065203,13.973285803965227,13.974850891072773,13.976209181710345,13.977262843665777,13.978684972584729,13.980390049142757,13.98199486495035,13.984045852786155,13.985563832864363,13.98661443115272,13.987578054450607,13.988898158887642,13.990674056879882,13.992130893638471,13.993347071973554,13.99548603152254,13.996379393402679,13.997367006612203,13.99861430876472,14.000024709265125,14.001428971639221,14.002890134714294,14.00427630628211,14.005507582844324,14.006158189928302,14.007794821772436,14.009158561036363,14.011071584912733,14.013039231532316,14.014629413581954,14.015816095855422,14.016811691022513,14.01829220561643,14.020583006028932,14.022367804467743,14.024800185309894,14.026974972901842,14.028792038530279,14.030221050785231,14.032156243802183,14.034244400789785
Georgia,13.558930433062212,13.569979516472435,13.581464034678403,13.593779758246418,13.60437462577434,13.612164731973445,13.61822113953644,13.627471085000634,13.63716110192272,13.646855191934135,13.65671879160352,13.667194987392524,13.672692751187965,13.677200910498158,13.686792704506438,13.694027435421365,13.70229482627777,13.709612119874338,13.716638943774573,13.720590901895628,13.723921446390365,13.729343551666084,13.734696302724448,13.740863517462392,13.74606722789323,13.750868564806991,13.754689916937329,13.757559359365281,13.761494613157115,13.76517154494749,13.769556667764418,13.773631755218869,13.777610332583135,13.779611840866949,13.781755202497958,13.784745118028184,13.788394210500131,13.791968608107549,13.795728170463269,13.799125045674835,13.80091049383644,13.802467870701747,13.806290180630201,13.809554857938991,13.812896143358788,13.816333219485474,13.819689812700547,13.8220113817466,13.82413426666902,13.827249387509644,13.829948822761303,13.83278941499445,13.83483267767831,13.837055783700523,13.838726959539908,13.84013682689054,13.841853515303358,13.843546842540487,13.845212068469111,13.846732054832591,13.847946769887203,13.848739316698866,13.849683939357577,13.851366964332513,13.853337030384731,13.855517500419818,13.857053572487123,13.858699349409687,13.860192294089163,13.86085001337573,13.862560160615931,13.86372722438197,13.865597024427862,13.867173733937197,13.868511842905171,13.869294897121915,13.870398284633175,13.871647005329889,13.873353903851372
Ohio,13.58350157458133,13.59191690536968,13.601443193174143,13.610259722991618,13.618896954695671,13.625263678603194,13.63046569633961,13.636443698890815,13.644050599861119,13.652644509404118,13.657666566249388,13.6645039304207,13.669701820517055,13.674703619771128,13.679598047011929,13.68572642131237,13.691892154618786,13.69739234114096,13.70209770911562,13.705464638480555,13.709127297258764,13.713186538592927,13.717597794374935,13.722131312705343,13.726166644543607,13.730039811775137,13.7323658774772,13.73445667255614,13.737928403977488,13.74146781445235,13.744484907495675,13.748026904177996,13.751016835823213,13.752944490260802,13.754981056623743,13.757131163736934,13.759054485660052,13.761466114212366,13.763897212365798,13.766642740779925,13.768175734272962,13.76986339937405,13.77276379559961,13.774684396768672,13.777190638974082,13.779241723726352,13.781079555809592,13.782391114155589,13.783890883583812,13.785653231168709,13.787734345964257,13.789660300561641,13.791454517718728,13.792995996697103,13.793747450181456,13.795028219716935,13.79695852834473,13.798859698625265,13.800330928129084,13.802162872632218,13.803740562525252,13.804643727253389,13.805804607247849,13.807704167228183,13.809172514936442,13.811287654043388,13.812844005872225,13.814329861216113,13.815261526958627,13.816704844520094,13.818329580783072,13.82017068269621,13.821663589182476,13.824385062799351,13.826058729876838,13.827066529778874,13.82854523623473,13.830968466506352,13.832925041796873
Pennsylvania,13.511692328491907,13.522484900625534,13.532039606283957,13.540078480341373,13.548271430637266,13.555425494144547,13.560059442521654,13.569543521152797,13.576726580365136,13.583753768989247,13.590413850481772,13.596839490168371,13.601206572317079,13.607377532894297,13.613103021733714,13.620204668384508,13.627532634045284,13.638793665654635,13.644100454156018,13.648330192600763,13.652952804183435,13.657918296014719,13.661581686868974,13.665526850901117,13.671003726385624,13.67535498812799,13.679859205526322,13.683310849682998,13.688630141339525,13.692132021652137,13.696573857092012,13.700252332291,13.704200154555437,13.706807796553734,13.70865448006611,13.71223342611003,13.716100083429053,13.719702054017096,13.722761296208319,13.72549065991019,13.727378553305941,13.729479790928597,13.73254842624974,13.735574094646607,13.738158560414645,13.741469968155696,13.744585821627496,13.746441254985083,13.749181635013482,13.751821809001369,13.754617650162372,13.757811527429215,13.760774501962796,13.763298947316546,13.765031668700932,13.767180238050264,13.770245373746643,13.772968334698598,13.775826457463658,13.779000088779577,13.7814769286012,13.783255925234846,13.7853420298777,13.78852058345772,13.791671655859384,13.794939415435898,13.79847629520848,13.802134495989032,13.804102735486019,13.806560626544684,13.810191436486674,13.814822321183664,13.818416332110445,13.823372571185406,13.828909391337247,13.829149128397155,13.833234555818118,13.838243202290608,13.8428134194256
North Carolina,13.362916105761187,13.370900173857375,13.386152779726435,13.399754175888443,13.411784436941216,13.421931529700077,13.421931529700077,13.436441001865612,13.44576919033692,13.456117637958492,13.466713076613111,13.476839706159042,13.485356519426382,13.49178118508781,13.497264805216739,13.50491598757747,13.51373091339712,13.523097311136592,13.531326360807634,13.5378144592948,13.542786717914414,13.546622761456026,13.562304627635017,13.569358069632171,13.576428155348555,13.581712953242253,13.587600665672383,13.5914666014069,13.594946177727003,13.599713703463092,13.605365903721315,13.61044633619578,13.615503531114271,13.619367928652945,13.622354115213613,13.624762800240829,13.628588032930205,13.633297795252028,13.637162297164938,13.64127264034311,13.644292726014775,13.646820863693412,13.64861146128985,13.652557416563095,13.6564937242582,13.65991583600987,13.662999033986742,13.662999033986742,13.667208905842008,13.668644944153653,13.671126198661982,13.67401265968919,13.676420889562321,13.678747663944504,13.678747663944504,13.681872873976738,13.683011774872115,13.685134183033052,13.687479439631048,13.68974776859162,13.69075879704774,13.69075879704774,13.694719377373259,13.69595194690644,13.69820228459044,13.700453179327583,13.702599385486659,13.704873925828325,13.704873925828325,13.70804004003872,13.70922183387648,13.711552391887807,13.713893028585282,13.71627458229746,13.71627458229746,13.71627458229746,13.72211594229492,13.723618928253412,13.725731354073314
New Jersey,13.295896428165204,13.309058688707314,13.320758394564585,13.33105581250933,13.340840055787835,13.34905582393378,13.355179993414225,13.362486752120537,13.37100468051197,13.378848857167682,13.385327461943788,13.396256315215007,13.404242143199143,13.410473358290236,13.417689162112774,13.424743896486227,13.431734531971095,13.440482507095503,13.448127052931321,13.4542967575546,13.459331205485519,13.463818891135164,13.46709852481478,13.471747608568148,13.477692416018696,13.48399640968404,13.490013077788156,13.493553070855308,13.4984751954852,13.504457499189254,13.509435024874438,13.514490596691697,13.519554349060247,13.522464793265636,13.524399948122758,13.529248809707706,13.534704789451926,13.539034792973293,13.543044138118855,13.546815093681099,13.549467334418164,13.552989281170992,13.557086919023272,13.561117538538056,13.565720110691318,13.570675947388123,13.575942865835895,13.578973968976547,13.582943999237449,13.587085584460329,13.591713042862352,13.595698949558036,13.600299213350995,13.60490186601733,13.608006568637744,13.610841546546107,13.615891864509473,13.620490313040854,13.625116102837286,13.630002329120025,13.634645539902584,13.638608688099046,13.641973504195386,13.646380410682745,13.65149403704782,13.656736372856747,13.662056302244109,13.667763166590651,13.671509694042213,13.675142131714944,13.680653715891026,13.68533011605648,13.689814673128508,13.69614351843589,13.7013828335105,13.70642422115807,13.710454440417086,13.715850430842526,13.719899032759985
