ID,Confirmed,Deaths
0,511472,8659
1,519877,9113
2,509688,8527
3,508259,8636
4,503477,8354
5,515375,8647
6,485722,8316
7,491631,8438
8,500421,8807
9,509169,8789
10,494554,8525
11,500272,8953
12,527876,8813
13,486327,8560
14,511585,8852
15,502558,8523
16,511340,8680
17,525774,8972
18,515628,8919
19,506243,8689
20,504591,8330
21,472766,8552
22,506079,8815
23,491178,8751
24,493023,8909
25,511200,8660
26,502753,8715
27,494332,8758
28,508095,8815
29,505601,8780
30,504737,8746
31,505592,8606
32,501843,8576
33,512609,8910
34,522630,8745
35,485869,8054
36,501625,8553
37,520893,8797
38,515755,8515
39,485907,8435
40,467449,8264
41,492454,8582
42,519577,8774
43,501045,8516
44,518469,8606
45,490605,8679
46,507998,8697
47,498917,8551
48,508720,8786
49,493852,8560
50,1022513,17410
51,1034931,18162
52,1016028,17184
53,1016835,17374
54,1006210,16896
55,1024986,17377
56,979551,16844
57,986966,17010
58,1004128,17644
59,1018874,17655
60,995418,17164
61,1003154,17865
62,1047648,17679
63,978583,17217
64,1020162,17747
65,1007874,17136
66,1021176,17463
67,1045776,17973
68,1031943,17881
69,1013255,17458
70,1007286,16819
71,961180,17226
72,1011076,17661
73,989575,17573
74,991733,17819
75,1022910,17451
76,1005440,17471
77,994540,17540
78,1015101,17638
79,1012808,17651
80,1012021,17546
81,1012870,17367
82,1004430,17253
83,1021987,17819
84,1037991,17553
85,978681,16413
86,1002895,17195
87,1039258,17686
88,1025951,17145
89,980205,17013
90,949493,16712
91,992301,17305
92,1032070,17575
93,1004048,17190
94,1034242,17405
95,988499,17450
96,1014057,17402
97,1001907,17231
98,1017533,17635
99,992629,17277
100,1533898,26242
101,1548530,27178
102,1522346,25943
103,1526183,26201
104,1510371,25579
105,1532956,26181
106,1479278,25521
107,1486178,25702
108,1510622,26524
109,1529626,26574
110,1499965,25903
111,1508719,26791
112,1563739,26605
113,1476530,25967
114,1528761,26680
115,1514917,25850
116,1531355,26321
117,1563152,27003
