ID,Confirmed,Deaths
0,516339,10564
1,63011,314
2,841881,16968
3,330976,5640
4,3671325,59369
5,462817,6111
6,311381,7891
7,95062,1564
8,2061994,33504
9,1060564,19131
10,30807,463
11,180903,1968
12,1246213,23591
13,687265,13044
14,351825,5743
15,304123,4870
16,427286,10599
17,445503,10159
18,50664,746
19,412153,8299
20,637219,17206
21,753173,17137
22,520683,6944
23,305506,7045
24,582309,8853
25,104712,1439
26,209570,2180
27,304124,5259
28,84448,1240
29,912042,24597
30,191806,3956
31,1880738,50352
32,915757,12116
33,103137,1498
34,1019042,19035
35,440020,4973
36,165317,2418
37,1030293,25112
38,137780,2625
39,552663,9164
40,117930,1936
41,812989,11904
42,2796834,48558
43,386077,2128
44,19275,228
45,620347,10436
46,365238,5247
47,142043,2681
48,636585,7326
49,56374,700
50,517290,10570
51,63092,315
52,841967,16970
53,331552,5654
54,3673869,59456
55,463886,6116
56,312222,7892
57,95315,1569
58,2066287,33581
59,1061522,19216
60,30860,463
61,181238,1973
62,1247944,23604
63,688032,13048
64,352264,5743
65,304297,4870
66,427637,16768
67,446073,10176
68,50824,749
69,412964,8312
70,638866,17223
71,761929,17156
72,521925,6961
73,305858,7058
74,582933,8853
75,104872,1441
76,209808,2180
77,304486,5268
78,84725,1242
79,915289,24623
80,191952,3978
81,1888515,50407
82,917374,12117
83,103175,1498
84,1020534,19038
85,440287,4983
86,165627,2445
87,1032900,25149
88,138179,2632
89,553691,9180
90,118097,1937
91,814126,11904
92,2801744,48890
93,386494,2135
94,19427,229
95,621718,10620
96,365989,5247
97,142349,2685
98,637126,7331
99,56435,700
100,518241,10572
101,63182,316
102,842074,16970
103,332129,5668
104,3676365,59530
105,465007,6120
106,313029,7892
107,95565,1573
108,2070536,33659
109,1062396,19306
110,30911,463
111,181546,1978
112,1249671,23617
113,688796,13051
114,352696,5743
115,304476,4870
116,427954,17076
117,446644,10193
118,50985,752
119,413773,8325
120,640515,17241
121,773938,17174
122,523158,6974
123,306204,7071
124,583554,8853
125,105032,1443
126,210046,2180
127,304847,5277
128,85004,1244
129,918551,24648
130,192089,4000
131,1896470,50460
132,918984,12117
133,103200,1499
134,1022015,19040
135,440536,4990
136,165933,2445
137,1035500,25186
138,138491,2639
139,554713,9197
140,118259,1937
141,815270,11904
142,2806667,49255
143,386898,2142
144,19572,230
145,623073,10811
146,366739,5247
147,142654,2690
148,637666,7336
149,56498,700
150,519191,10572
151,63334,317
152,842178,16970
153,332708,5682
154,3678841,59598
155,465904,6124
156,313793,7892
157,95818,1577
158,2074735,33734
159,1063229,19390
160,30958,463
161,181807,1982
162,1251392,23630
163,689561,13053
164,353145,5744
165,304650,4870
166,428246,18272
167,447221,10210
168,51147,755
169,414580,8339
170,642160,17254
171,789545,17193
172,524401,6987
173,306540,7084
174,584174,8853
175,105192,1445
176,210286,2180
177,305209,5287
178,85285,1245
179,921822,24674
180,192222,4022
181,1904576,50514
182,920591,12117
183,103209,1500
184,1023506,19040
185,440778,5001
186,166231,2445
187,1038092,25223
188,138664,2645
189,555731,9213
190,118417,1937
191,816407,11904
192,2811601,49641
193,387298,2149
194,19652,231
195,624421,11024
196,367490,5247
197,142959,2711
198,638204,7337
199,56559,700
200,520141,10572
201,63509,318
202,842242,16970
203,333293,5696
204,3681327,59675
205,466731,6128
206,314739,7892
207,96068,1581
208,2078896,33808
209,1064006,19479
210,31009,463
211,182078,1986
212,1253121,23643
213,690327,13055
214,353623,5746
215,304829,4870
216,428528,20919
217,447806,10227
218,51309,758
219,415385,8352
220,643794,17266
221,811660,17211
222,525656,6998
223,306869,7097
224,584793,8853
225,105351,1447
226,210520,2180
227,305571,5296
228,85566,1246
229,925112,24700
230,192353,4044
231,1912739,50568
232,922191,12117
233,103209,1501
234,1025008,19040
235,441042,5018
236,166529,2445
237,1040676,25260
238,139100,2651
239,556743,9229
240,118563,1937
241,817560,11904
242,2816574,50004
243,387695,2156
244,19652,232
245,625764,11258
246,368237,5247
247,143263,2721
248,638748,7337
249,56623,700
250,521090,10574
251,63673,318
252,842288,16970
253,333889,5709
254,3683863,59772
255,467582,6132
256,315906,7893
257,96313,1585
258,2083162,33880
259,1064724,19544
260,31061,463
261,182447,1990
262,1254876,23656
263,691097,13055
264,354142,5748
265,305013,4870
266,428850,25272
267,448399,10245
268,51468,761
269,416191,8366
270,645432,17274
271,843295,17229
272,527019,7005
273,307205,7110
274,585419,8853
275,105511,1449
276,210767,2180
277,305935,5306
278,85857,1247
279,928451,24725
280,192485,4063
281,1920959,50626
282,923853,12120
283,103235,1502
284,1026537,19040
285,441324,5040
286,166844,2445
287,1043289,25298
288,139603,2656
289,557755,9244
290,118710,1937
291,818734,11904
292,2821598,50318
293,388097,2163
294,19652,233
295,627112,11518
296,369017,5247
297,143567,2730
298,639304,7337
299,56690,700
300,522039,10576
301,63786,318
302,842320,16970
303,334493,5722
304,3686355,59870
305,468835,6136
306,316886,7893
307,96566,1589
308,2087619,33951
309,1065470,19601
310,31114,463
311,182806,1993
312,1256662,23670
313,691879,13055
314,354684,5751
315,305192,4870
316,429198,33926
317,448988,10262
318,51626,765
319,417007,8380
320,647088,17279
321,883560,17248
322,528444,7009
323,307551,7123
324,586053,8853
325,105676,1451
326,211020,2180
327,306302,5316
328,86169,1249
329,931884,24757
330,192618,4080
331,1929197,50688
332,925471,12123
333,103330,1503
334,1028069,19040
335,441556,5066
336,167181,2445
337,1045926,25338
338,140065,2661
339,558771,9258
340,118877,1937
341,819900,11904
342,2826663,50605
343,388519,2171
344,19652,234
345,628467,11805
346,369785,5247
347,143871,2738
348,639875,7339
349,56755,700
350,522989,10576
351,63855,318
352,842329,16970
353,335101,5735
354,3688844,59979
355,470006,6140
356,317887,7894
357,96825,1593
358,2091982,34022
359,1066145,19654
360,31176,463
361,183145,1995
362,1258457,23686
363,692665,13055
364,355200,5752
365,305375,4870
366,429478,49789
367,449578,10279
