,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate
0,Alabama,01-12-2021,407848,5573,211684.0,190591.0,8318.021857221378,1981019.0,1.3664404385947706,40402.69743034375
1,Alaska,01-12-2021,50544,225,7165.0,43132.0,6906.205359889002,1357708.0,0.4453505403586556,185594.59773493087
2,Arizona,01-12-2021,636100,10482,86757.0,538861.0,8739.177522632079,5742443.0,1.6478541109888385,42806.225327897766
3,Arkansas,01-12-2021,259553,4121,229700.0,25732.0,8600.724235238604,2208736.0,1.58772967370826,73190.17404708854
4,California,01-12-2021,2832085,31345,,2773506.0,7098.216164653657,36508384.0,1.1108999548252319,92397.69678360038
5,Colorado,01-12-2021,364336,5242,19328.0,339766.0,6326.666129511754,4821636.0,1.4387817838478767,83727.33183115184
6,Connecticut,01-12-2021,217047,6449,9800.0,200798.0,6087.784798250464,4771175.0,2.971245859191788,133823.02743089126
7,Delaware,01-12-2021,66446,1157,18851.0,46604.0,6823.6246154098935,1073700.0,1.4914366553291394,110262.85629782986
8,Florida,01-12-2021,1503482,23227,,1480255.0,7000.188148313763,17031970.0,1.5448804841029025,79300.57994471205
9,Georgia,01-12-2021,773692,11662,,762030.0,7287.0036354396,5737862.0,1.507318157613107,54041.945959956574
10,Hawaii,01-12-2021,24261,309,11958.0,11590.0,1684.8980698820233,878074.0,1.2910798122065728,62016.48171586133
11,Idaho,01-12-2021,151273,1556,66796.0,82921.0,8464.885160864322,564715.0,1.028603914776596,31600.13765587709
12,Illinois,01-12-2021,1040168,19497,,1020671.0,8208.512415066469,14263477.0,1.8744087493558728,112560.59409298787
13,Indiana,01-12-2021,570477,10271,370456.0,190917.0,8473.833070492805,6175128.0,1.595857501704714,91725.00181589457
14,Iowa,01-12-2021,299255,4222,258758.0,36275.0,9484.892569736965,1201471.0,1.4108369116639654,38080.64480344335
15,Kansas,01-12-2021,249803,3248,4896.0,240502.0,8534.81636376992,1066516.0,1.3062747842313969,36608.343625163645
16,Kentucky,01-12-2021,308728,2944,39200.0,266584.0,6910.264023351754,3343361.0,0.9535902153351816,74834.50556923033
17,Louisiana,01-12-2021,352939,7971,280373.0,64595.0,7592.055057720347,4508788.0,2.2584639271942177,96988.33719024762
18,Maine,01-12-2021,30326,449,11768.0,18109.0,2256.042945606794,1203694.0,1.4805777220866585,89546.44059121628
19,Maryland,01-12-2021,312351,6367,9434.0,296550.0,5166.515594606397,6220019.0,2.0384119148009767,102883.69546519167
20,Massachusetts,01-12-2021,442529,13273,293522.0,135734.0,6420.439715441546,11844709.0,2.999351454932897,171849.16713130195
21,Michigan,01-12-2021,570150,14296,415079.0,140775.0,5709.003343093828,8624043.0,2.5074103306147504,86353.92496357963
22,Minnesota,01-12-2021,438867,5792,418610.0,14465.0,7781.8375383358325,5714994.0,1.3197620235743404,101336.29286449896
23,Mississippi,01-12-2021,241957,5284,198888.0,37785.0,8129.868497847387,1464883.0,2.1838591154626648,49220.75474043807
24,Missouri,01-12-2021,486456,6383,,432331.0,7147.3425024293565,3844238.0,1.4434771111308682,62635.977155251356
25,Montana,01-12-2021,87077,1067,81183.0,4827.0,8147.342104721467,851594.0,1.225352274423786,79679.22243908464
26,Nebraska,01-12-2021,177670,1791,122564.0,53315.0,9184.722147551083,1861366.0,1.0080486294816229,96224.06441660703
