,date,location,total_vaccinations,people_fully_vaccinated
0,2021-01-12,Alabama,78134.0,7270.0
1,2021-01-12,Alaska,35838.0,5400.0
2,2021-01-12,Arizona,141355.0,8343.0
3,2021-01-12,Arkansas,40879.0,8.0
4,2021-01-12,California,816301.0,100089.0
5,2021-01-12,Colorado,224428.0,36425.0
6,2021-01-12,Connecticut,151395.0,4174.0
7,2021-01-12,Delaware,26410.0,2784.0
8,2021-01-12,Florida,633440.0,41725.0
9,2021-01-12,Georgia,170571.0,7746.0
10,2021-01-12,Hawaii,33483.0,
11,2021-01-12,Idaho,35845.0,4308.0
12,2021-01-12,Illinois,347005.0,62757.0
13,2021-01-12,Indiana,191844.0,23546.0
14,2021-01-12,Iowa,98691.0,6099.0
15,2021-01-12,Kansas,78268.0,9577.0
16,2021-01-12,Kentucky,132114.0,6335.0
17,2021-01-12,Louisiana,142771.0,18314.0
18,2021-01-12,Maine,54945.0,4518.0
19,2021-01-12,Maryland,146231.0,6663.0
20,2021-01-12,Massachusetts,204082.0,19073.0
21,2021-01-12,Michigan,227685.0,19472.0
22,2021-01-12,Minnesota,162240.0,9798.0
23,2021-01-12,Mississippi,54544.0,4832.0
24,2021-01-12,Missouri,161784.0,22155.0
25,2021-01-12,Montana,42083.0,5843.0
26,2021-01-12,Nebraska,74439.0,8459.0
27,2021-01-12,Nevada,61653.0,8761.0
28,2021-01-12,New Hampshire,50613.0,5.0
29,2021-01-12,New Jersey,221045.0,14306.0
30,2021-01-12,New Mexico,78235.0,11335.0
31,2021-01-12,North Carolina,211610.0,19293.0
32,2021-01-12,North Dakota,39479.0,5815.0
33,2021-01-12,Ohio,311890.0,
34,2021-01-12,Oklahoma,157843.0,17463.0
35,2021-01-12,Oregon,104610.0,4813.0
36,2021-01-12,Pennsylvania,341948.0,10591.0
37,2021-01-12,Rhode Island,39568.0,4141.0
38,2021-01-12,South Carolina,81075.0,3954.0
39,2021-01-12,South Dakota,48698.0,7374.0
40,2021-01-12,Tennessee,251257.0,17914.0
41,2021-01-12,Texas,911461.0,101317.0
42,2021-01-12,Utah,95225.0,4608.0
43,2021-01-12,Vermont,25757.0,
44,2021-01-12,Virginia,190607.0,
45,2021-01-12,Washington,195567.0,17689.0
46,2021-01-12,West Virginia,103330.0,
47,2021-01-12,Wisconsin,137253.0,11343.0
48,2021-01-12,Wyoming,16467.0,2116.0
49,2021-01-13,Alabama,84040.0,9245.0
50,2021-01-13,Alaska,38680.0,6166.0
51,2021-01-13,Arizona,154745.0,12392.0
52,2021-01-13,Arkansas,94854.0,12849.0
53,2021-01-13,California,891489.0,133689.0
54,2021-01-13,Colorado,239665.0,41271.0
55,2021-01-13,Connecticut,161875.0,5268.0
56,2021-01-13,Delaware,28413.0,4050.0
57,2021-01-13,Florida,705398.0,52969.0
58,2021-01-13,Georgia,198756.0,8937.0
59,2021-01-13,Hawaii,36605.0,
60,2021-01-13,Idaho,38872.0,5653.0
61,2021-01-13,Illinois,365859.0,74186.0
62,2021-01-13,Indiana,211334.0,32040.0
63,2021-01-13,Iowa,112093.0,9603.0
64,2021-01-13,Kansas,85650.0,12470.0
65,2021-01-13,Kentucky,142436.0,7725.0
66,2021-01-13,Louisiana,156186.0,21634.0
67,2021-01-13,Maine,57248.0,5182.0
68,2021-01-13,Maryland,178056.0,12706.0
69,2021-01-13,Massachusetts,217443.0,24789.0
70,2021-01-13,Michigan,291519.0,31937.0
71,2021-01-13,Minnesota,165355.0,10426.0
72,2021-01-13,Mississippi,61289.0,5722.0
73,2021-01-13,Missouri,161784.0,22155.0
74,2021-01-13,Montana,44063.0,6823.0
75,2021-01-13,Nebraska,79699.0,10529.0
76,2021-01-13,Nevada,61653.0,8761.0
77,2021-01-13,New Hampshire,55218.0,9.0
78,2021-01-13,New Jersey,262982.0,26926.0
79,2021-01-13,New Mexico,81855.0,12426.0
80,2021-01-13,North Carolina,266938.0,35148.0
81,2021-01-13,North Dakota,40728.0,6395.0
82,2021-01-13,Ohio,329318.0,
83,2021-01-13,Oklahoma,172403.0,22278.0
84,2021-01-13,Oregon,115075.0,7014.0
85,2021-01-13,Pennsylvania,379944.0,18051.0
86,2021-01-13,Rhode Island,42028.0,5490.0
87,2021-01-13,South Carolina,99887.0,12213.0
88,2021-01-13,South Dakota,50712.0,7921.0
89,2021-01-13,Tennessee,264713.0,24026.0
90,2021-01-13,Texas,978042.0,115965.0
91,2021-01-13,Utah,104036.0,6021.0
92,2021-01-13,Vermont,29571.0,
93,2021-01-13,Virginia,217836.0,
94,2021-01-13,Washington,208238.0,22625.0
95,2021-01-13,West Virginia,110709.0,
96,2021-01-13,Wisconsin,137253.0,11343.0
97,2021-01-13,Wyoming,17794.0,2559.0
98,2021-01-14,Alabama,92300.0,
99,2021-01-14,Alaska,42596.0,
100,2021-01-14,Arizona,173665.0,
101,2021-01-14,Arkansas,108316.0,
102,2021-01-14,California,975293.0,
103,2021-01-14,Colorado,254706.0,
104,2021-01-14,Connecticut,171897.0,
105,2021-01-14,Delaware,31090.0,
106,2021-01-14,Florida,774485.0,
107,2021-01-14,Georgia,231305.0,
108,2021-01-14,Hawaii,47985.0,
109,2021-01-14,Idaho,42586.0,
110,2021-01-14,Illinois,403666.0,
111,2021-01-14,Indiana,233488.0,
112,2021-01-14,Iowa,112093.0,
113,2021-01-14,Kansas,91565.0,
114,2021-01-14,Kentucky,155613.0,
115,2021-01-14,Louisiana,175811.0,
116,2021-01-14,Maine,61129.0,
117,2021-01-14,Maryland,178056.0,
118,2021-01-14,Massachusetts,233476.0,
119,2021-01-14,Michigan,327235.0,
120,2021-01-14,Minnesota,179684.0,
121,2021-01-14,Mississippi,71848.0,
122,2021-01-14,Missouri,175314.0,
123,2021-01-14,Montana,46620.0,
124,2021-01-14,Nebraska,84920.0,
125,2021-01-14,Nevada,76844.0,
126,2021-01-14,New Hampshire,58711.0,
127,2021-01-14,New Jersey,263422.0,
128,2021-01-14,New Mexico,89415.0,
129,2021-01-14,North Carolina,268212.0,
130,2021-01-14,North Dakota,42774.0,
131,2021-01-14,Ohio,348424.0,
132,2021-01-14,Oklahoma,187266.0,
133,2021-01-14,Oregon,129796.0,
134,2021-01-14,Pennsylvania,410414.0,
135,2021-01-14,Rhode Island,44871.0,
136,2021-01-14,South Carolina,115855.0,
137,2021-01-14,South Dakota,54284.0,
138,2021-01-14,Tennessee,264713.0,
139,2021-01-14,Texas,1043624.0,
140,2021-01-14,Utah,115384.0,
141,2021-01-14,Vermont,29571.0,
142,2021-01-14,Virginia,217836.0,
143,2021-01-14,Washington,225238.0,
144,2021-01-14,West Virginia,118660.0,
145,2021-01-14,Wisconsin,149955.0,
146,2021-01-14,Wyoming,19776.0,
147,2021-01-15,Alabama,100567.0,13488.0
148,2021-01-15,Alaska,49039.0,9406.0
149,2021-01-15,Arizona,197086.0,20837.0
150,2021-01-15,Arkansas,118338.0,18781.0
151,2021-01-15,California,1072959.0,204374.0
152,2021-01-15,Colorado,272233.0,47021.0
153,2021-01-15,Connecticut,185866.0,17162.0
154,2021-01-15,Delaware,31090.0,5354.0
155,2021-01-15,Florida,853081.0,74776.0
156,2021-01-15,Georgia,231305.0,22324.0
157,2021-01-15,Hawaii,46958.0,7268.0
158,2021-01-15,Idaho,46636.0,8843.0
159,2021-01-15,Illinois,437765.0,91248.0
160,2021-01-15,Indiana,260310.0,37683.0
161,2021-01-15,Iowa,120983.0,10742.0
162,2021-01-15,Kansas,97779.0,13496.0
163,2021-01-15,Kentucky,174748.0,10672.0
164,2021-01-15,Louisiana,197967.0,30416.0
165,2021-01-15,Maine,61129.0,8274.0
166,2021-01-15,Maryland,194705.0,15830.0
167,2021-01-15,Massachusetts,257175.0,34885.0
168,2021-01-15,Michigan,364182.0,48536.0
169,2021-01-15,Minnesota,198253.0,27799.0
170,2021-01-15,Mississippi,84328.0,8396.0
171,2021-01-15,Missouri,190447.0,36525.0
172,2021-01-15,Montana,49364.0,8193.0
173,2021-01-15,Nebraska,91195.0,13050.0
174,2021-01-15,Nevada,83674.0,15308.0
175,2021-01-15,New Hampshire,62517.0,5700.0
176,2021-01-15,New Jersey,317070.0,36741.0
177,2021-01-15,New Mexico,99305.0,18711.0
178,2021-01-15,North Carolina,302824.0,42790.0
179,2021-01-15,North Dakota,46410.0,7555.0
180,2021-01-15,Ohio,375428.0,13552.0
181,2021-01-15,Oklahoma,203410.0,28917.0
182,2021-01-15,Oregon,146153.0,12795.0
183,2021-01-15,Pennsylvania,448151.0,66941.0
184,2021-01-15,Rhode Island,47548.0,8156.0
185,2021-01-15,South Carolina,121836.0,19477.0
186,2021-01-15,South Dakota,57103.0,9666.0
187,2021-01-15,Tennessee,303338.0,37800.0
188,2021-01-15,Texas,1160242.0,155660.0
189,2021-01-15,Utah,128210.0,10534.0
190,2021-01-15,Vermont,32470.0,4100.0
191,2021-01-15,Virginia,244234.0,28164.0
192,2021-01-15,Washington,242606.0,31581.0
193,2021-01-15,West Virginia,134207.0,21162.0
194,2021-01-15,Wisconsin,169803.0,17108.0
195,2021-01-15,Wyoming,22745.0,2803.0
196,2021-01-16,Alabama,,
197,2021-01-16,Alaska,,
198,2021-01-16,Arizona,,
199,2021-01-16,Arkansas,,
200,2021-01-16,California,,
201,2021-01-16,Colorado,,
202,2021-01-16,Connecticut,,
203,2021-01-16,Delaware,,
204,2021-01-16,Florida,,
205,2021-01-16,Georgia,,
206,2021-01-16,Hawaii,,
207,2021-01-16,Idaho,,
208,2021-01-16,Illinois,,
209,2021-01-16,Indiana,,
210,2021-01-16,Iowa,,
211,2021-01-16,Kansas,,
212,2021-01-16,Kentucky,,
213,2021-01-16,Louisiana,,
214,2021-01-16,Maine,,
215,2021-01-16,Maryland,,
216,2021-01-16,Massachusetts,,
217,2021-01-16,Michigan,,
218,2021-01-16,Minnesota,,
219,2021-01-16,Mississippi,,
220,2021-01-16,Missouri,,
221,2021-01-16,Montana,,
222,2021-01-16,Nebraska,,
223,2021-01-16,Nevada,,
224,2021-01-16,New Hampshire,,
225,2021-01-16,New Jersey,,
226,2021-01-16,New Mexico,,
227,2021-01-16,North Carolina,,
228,2021-01-16,North Dakota,,
229,2021-01-16,Ohio,,
230,2021-01-16,Oklahoma,,
231,2021-01-16,Oregon,,
232,2021-01-16,Pennsylvania,,
233,2021-01-16,Rhode Island,,
234,2021-01-16,South Carolina,,
235,2021-01-16,South Dakota,,
236,2021-01-16,Tennessee,,
237,2021-01-16,Texas,,
238,2021-01-16,Utah,,
239,2021-01-16,Vermont,,
240,2021-01-16,Virginia,,
241,2021-01-16,Washington,,
242,2021-01-16,West Virginia,,
243,2021-01-16,Wisconsin,,
244,2021-01-16,Wyoming,,
245,2021-01-17,Alabama,,
246,2021-01-17,Alaska,,
247,2021-01-17,Arizona,,
248,2021-01-17,Arkansas,,
249,2021-01-17,California,,
250,2021-01-17,Colorado,,
251,2021-01-17,Connecticut,,
252,2021-01-17,Delaware,,
253,2021-01-17,Florida,,
254,2021-01-17,Georgia,,
255,2021-01-17,Hawaii,,
256,2021-01-17,Idaho,,
257,2021-01-17,Illinois,,
258,2021-01-17,Indiana,,
259,2021-01-17,Iowa,,
260,2021-01-17,Kansas,,
261,2021-01-17,Kentucky,,
